,months_as_customer,age,policy_number,policy_bind_date,policy_csl,policy_deductable,policy_annual_premium,insured_zip,insured_education_level,insured_occupation,capital-gains,capital-loss,incident_date,incident_severity,incident_city,incident_location,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_model,auto_year,fraud_reported,policy_state_IN,policy_state_OH,insured_sex_MALE,insured_hobbies_basketball,insured_hobbies_board-games,insured_hobbies_bungie-jumping,insured_hobbies_camping,insured_hobbies_chess,insured_hobbies_cross-fit,insured_hobbies_dancing,insured_hobbies_exercise,insured_hobbies_golf,insured_hobbies_hiking,insured_hobbies_kayaking,insured_hobbies_movies,insured_hobbies_paintball,insured_hobbies_polo,insured_hobbies_reading,insured_hobbies_skydiving,insured_hobbies_sleeping,insured_hobbies_video-games,insured_hobbies_yachting,insured_relationship_not-in-family,insured_relationship_other-relative,insured_relationship_own-child,insured_relationship_unmarried,insured_relationship_wife,incident_type_Parked Car,incident_type_Single Vehicle Collision,incident_type_Vehicle Theft,collision_type_Front Collision,collision_type_Rear Collision,collision_type_Side Collision,authorities_contacted_Fire,authorities_contacted_None,authorities_contacted_Other,authorities_contacted_Police,incident_state_NY,incident_state_OH,incident_state_PA,incident_state_SC,incident_state_VA,incident_state_WV,auto_make_Audi,auto_make_BMW,auto_make_Chevrolet,auto_make_Dodge,auto_make_Ford,auto_make_Honda,auto_make_Jeep,auto_make_Mercedes,auto_make_Nissan,auto_make_Saab,auto_make_Suburu,auto_make_Toyota,auto_make_Volkswagen
0,328,48.0,521585,17-10-2014,1,1000,1406.91,466132,4,74,53300,0,25-01-2015,0,149,9935 4th Drive,5,1,2,1,2,2,71610.0,6510,13020.0,52080,28,2004,Y,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,228,42.0,342868,27-06-2006,1,2000,1197.22,468176,4,93,0,0,21-01-2015,1,134,6608 MLK Hwy,8,1,0,0,0,0,5070.0,780,780.0,3510,27,2007,Y,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,134,29.0,687698,06-09-2000,0,2000,1413.14,430632,6,76,35100,0,22-02-2015,1,149,7121 Francis Lane,7,3,1,2,3,1,34650.0,7700,3850.0,23100,43,2007,N,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3,256,41.0,227811,25-05-1990,1,2000,1415.74,608117,6,69,48900,-62400,10-01-2015,0,152,6956 Maple Drive,5,1,0,1,2,1,63400.0,6340,6340.0,50720,24,2014,Y,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4,228,44.0,367455,06-06-2014,2,1000,1583.91,610706,0,76,66000,-46000,17-02-2015,1,152,3041 3rd Ave,20,1,1,0,1,1,6500.0,1300,650.0,4550,12,2009,N,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,256,39.0,104594,12-10-2006,1,1000,1351.1,478456,6,78,0,0,02-01-2015,0,152,8973 Washington St,19,3,1,0,2,1,64100.0,6410,6410.0,51280,27,2003,Y,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6,137,34.0,413978,04-06-2000,1,1000,1333.35,441716,6,85,0,-77000,13-01-2015,1,157,5846 Weaver Drive,0,3,0,0,0,0,78650.0,21450,7150.0,50050,31,2012,N,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7,165,37.0,429027,03-02-1990,0,1000,1137.03,603195,0,78,0,0,27-02-2015,2,149,3525 3rd Hwy,23,3,0,2,2,2,51590.0,9380,9380.0,32830,32,2015,N,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,27,33.0,485665,05-02-1997,0,500,1442.99,601734,6,71,0,0,30-01-2015,2,152,4872 Rock Ridge,21,1,1,1,1,2,27700.0,2770,2770.0,22160,28,2012,N,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
9,212,42.0,636550,25-07-2011,0,500,1315.68,600983,6,71,0,-39300,05-01-2015,2,141,3066 Francis Ave,14,1,1,2,1,0,42300.0,4700,4700.0,32900,28,1996,N,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
